,y(01),y(02),y(03),y(04),y(05),y(06),y(07),y(08),y(09),y(10)
1973-05,7.0342,6.82,6.7415,6.7023,6.6787,6.662999999999999,6.6518,6.6434,6.6368,6.6316
1973-06,7.5887,7.0981,6.9194,6.83,6.7763,6.7405,6.715,6.6958,6.6809,6.669
1973-07,8.6946,8.0664,7.7588,7.6,7.5045,7.4408,7.3953,7.3612,7.3347,7.3134
1973-08,8.2944,7.6208,7.2854,7.12,7.0397,7.0018,6.9848,6.978,6.9761,6.9764
1973-09,7.2711,6.8676,6.67,6.5901,6.5756,6.5957,6.6325,6.6758,6.7202,6.7629
1973-10,7.0027,6.751,6.6859,6.6631,6.652,6.6451,6.6403,6.6367,6.6339999999999995,6.6317
1973-11,7.1822,6.8125,6.6891,6.6275,6.5905,6.5658,6.5482,6.5349,6.5247,6.5164
1973-12,7.2024,6.7885,6.6782,6.6632,6.6747,6.6911,6.7062,6.7189,6.7292,6.7377
1974-01,6.9926,6.7347,6.7191,6.7577,6.8001,6.8354,6.8629999999999995,6.8846,6.9017,6.9154
1974-02,6.9881,6.815,6.8253,6.8424,6.8541,6.8622,6.8679,6.8722,6.8756,6.8783
1974-03,8.1573,7.7276,7.5678,7.4872,7.4387,7.4064,7.3834,7.3661,7.3526,7.3419
1974-04,8.7808,8.3138,8.0802,7.9488,7.867000000000001,7.8119,7.7723,7.7427,7.7196,7.7011
1974-05,8.454,8.0729,7.902,7.8108,7.7553,7.7182,7.6917,7.6718,7.6563,7.6439
1974-06,8.5459,8.3018,8.1328,8.013,7.9259,7.861000000000001,7.8115,7.7729,7.7422,7.7173
1974-07,8.6473,8.5251,8.407,8.2929,8.1825,8.0758,7.9726,7.8729,7.7764,7.683
1974-08,9.4411,8.7922,8.4988,8.3483,8.2579,8.1975,8.1545,8.1221,8.097000000000001,8.0769
1974-09,8.0664,7.9713,7.9089,7.8758,7.8559,7.8426,7.8331,7.8259,7.8204,7.816
1974-10,7.7573,7.7712,7.7709,7.7577,7.7331,7.6984,7.6545,7.6026,7.5437,7.4785
1974-11,7.4107,7.4012,7.3913,7.3808,7.37,7.3587,7.3471,7.335,7.3227,7.3101
1974-12,7.1447,7.1538,7.1571,7.1587,7.1597,7.1604,7.1608,7.1612,7.1615,7.1617
1975-01,6.2389,6.67,6.9108,7.0414,7.1207,7.1737,7.2115,7.2399,7.2620000000000005,7.2796
1975-02,5.9168,6.2788,6.5945,6.8006,6.9345,7.0259,7.0916,7.1409,7.1793,7.21
1975-03,6.2417,6.7571,7.0298,7.1766,7.2657,7.3251,7.3676,7.3994,7.4242,7.444
1975-04,6.7913,7.412000000000001,7.6429,7.7587,7.8282,7.8746,7.9077,7.9325,7.9518,7.9672
1975-05,6.1062,6.7811,7.1327,7.3271,7.4464,7.5262,7.5833,7.6261,7.6594,7.686
1975-06,6.7608,7.1349,7.3454,7.4644,7.5322,7.5713,7.5941,7.6077,7.6160000000000005,7.6212
1975-07,7.1823,7.5714,7.7218,7.7699,7.7762,7.7667,7.7527,7.7384,7.7255,7.7142
1975-08,7.3436,7.6802,7.8182,7.8736,7.895,7.9025,7.9044,7.9043,7.9035,7.9025
1975-09,7.5426,7.9481,8.1054,8.1608,8.1755,8.1748,8.1691,8.1623,8.1559,8.1502
1975-10,6.3438,6.9265,7.2485,7.428,7.5381,7.6118,7.6644,7.7039,7.7347,7.7593
1975-11,6.5853,7.1416,7.4366,7.6067,7.7131,7.7846,7.8356,7.8738,7.9034,7.9271
1975-12,6.1325,6.6944,7.026,7.2314,7.3657,7.4584,7.5255,7.5762,7.6156,7.6472
1976-01,5.5627,6.4029,6.8866,7.1603,7.3291,7.4422,7.5231,7.5838,7.631,7.6687
1976-02,6.0952,6.7378,7.0558,7.2287,7.3342,7.4047,7.4551,7.492999999999999,7.5224,7.5459
1976-03,6.0262,6.6315,6.9556,7.1454,7.266,7.3481,7.4072,7.4516,7.4862,7.5139
1976-04,5.9891,6.582000000000001,6.9104,7.1071,7.2337,7.3205,7.3831,7.4303,7.4671,7.4965
